             lon,lat,ele
                        138.775223,                        -35.006725,                        401.291
                        138.774878,                        -35.006662,                        402.524
                        138.774729,                        -35.006633,                        403.542
                        138.774729,                        -35.006633,                        403.542
                        138.774462,                        -35.00659,                        405.149
                        138.774336,                        -35.006572,                        406.277
                        138.774336,                        -35.006572,                        406.277
                        138.774124,                        -35.006531,                        407.572
                        138.774006,                        -35.006509,                        407.587
                        138.774006,                        -35.006509,                        407.587
                        138.773818,                        -35.006478,                        408.993
                        138.773716,                        -35.006455,                        409.084
                        138.773716,                        -35.006455,                        409.084
                        138.773527,                        -35.006417,                        409.916
                        138.773417,                        -35.006391,                        410.547
                        138.773417,                        -35.006391,                        410.547
                        138.773149,                        -35.006333,                        412.736
                        138.772992,                        -35.006287,                        413.147
                        138.772992,                        -35.006287,                        413.147
                        138.772629,                        -35.006187,                        414.896
                        138.772424,                        -35.006135,                        416.234
                        138.772424,                        -35.006135,                        416.234
                        138.771976,                        -35.006035,                        418.142
                        138.771747,                        -35.005972,                        419.371
                        138.771747,                        -35.005972,                        419.371
                        138.771259,                        -35.005848,                        421.676
                        138.770999,                        -35.005778,                        422.178
                        138.770999,                        -35.005778,                        422.178
                        138.77047,                        -35.005629,                        424.88
                        138.770194,                        -35.005546,                        425.889
                        138.770194,                        -35.005546,                        425.889
                        138.769627,                        -35.00538,                        427.831
                        138.769343,                        -35.005307,                        428.798
                        138.769343,                        -35.005307,                        428.798
                        138.768799,                        -35.005137,                        429.704
                        138.768539,                        -35.005053,                        430.79
                        138.768539,                        -35.005053,                        430.79
                        138.76801,                        -35.004874,                        431.198
                        138.767749,                        -35.00479,                        432.284
                        138.767749,                        -35.00479,                        432.284
                        138.767229,                        -35.004615,                        432.154
                        138.766968,                        -35.004531,                        433.24
                        138.766968,                        -35.004531,                        433.24
                        138.766448,                        -35.004356,                        433.11
                        138.766196,                        -35.004268,                        433.083
                        138.766196,                        -35.004268,                        433.083
                        138.76566,                        -35.004093,                        432.878
                        138.765392,                        -35.004006,                        432.775
                        138.765392,                        -35.004006,                        432.775
                        138.764865,                        -35.003842,                        432.604
                        138.764589,                        -35.003766,                        432.46
                        138.764589,                        -35.003766,                        432.46
                        138.764032,                        -35.003625,                        432.129
                        138.76375,                        -35.00356,                        431.942
                        138.76375,                        -35.00356,                        431.942
                        138.763179,                        -35.003456,                        430.945
                        138.762898,                        -35.003406,                        430.177
                        138.762898,                        -35.003406,                        430.177
                        138.762312,                        -35.003325,                        429.095
                        138.762032,                        -35.003297,                        428.319
                        138.762032,                        -35.003297,                        428.319
                        138.761449,                        -35.00326,                        427.221
                        138.761161,                        -35.003243,                        426.402
                        138.761161,                        -35.003243,                        426.402
                        138.760579,                        -35.003228,                        425.297
                        138.760276,                        -35.003226,                        425.55
                        138.760276,                        -35.003226,                        425.55
                        138.759974,                        -35.003225,                        424.073
                        138.759355,                        -35.003244,                        422.766
                        138.759355,                        -35.003244,                        422.766
                        138.758736,                        -35.003256,                        420.885
                        138.758434,                        -35.003262,                        419.983
                        138.758434,                        -35.003262,                        419.983
                        138.75783,                        -35.00328,                        418.753
                        138.757528,                        -35.003286,                        417.851
                        138.757528,                        -35.003286,                        417.851
                        138.756931,                        -35.003279,                        415.516
                        138.756636,                        -35.003266,                        414.084
                        138.756636,                        -35.003266,                        414.084
                        138.756029,                        -35.003211,                        412.307
                        138.755726,                        -35.003173,                        411.423
                        138.755726,                        -35.003173,                        411.423
                        138.755108,                        -35.003048,                        408.483
                        138.754811,                        -35.002976,                        407.651
                        138.754811,                        -35.002976,                        407.651
                        138.754221,                        -35.002792,                        405.463
                        138.75393,                        -35.002687,                        404.682
                        138.75393,                        -35.002687,                        404.682
                        138.753376,                        -35.002454,                        403.28
                        138.753115,                        -35.002326,                        402.659
                        138.753115,                        -35.002326,                        402.659
                        138.752605,                        -35.002032,                        402.085
                        138.752357,                        -35.001874,                        402.705
                        138.752357,                        -35.001874,                        402.705
                        138.751891,                        -35.001535,                        402.376
                        138.751666,                        -35.001365,                        403.114
                        138.751666,                        -35.001365,                        403.114
                        138.751246,                        -35.001003,                        403.022
                        138.751034,                        -35.000818,                        404.419
                        138.751034,                        -35.000818,                        404.419
                        138.750613,                        -35.000448,                        405.484
                        138.75041,                        -35.000267,                        406.341
                        138.75041,                        -35.000267,                        406.341
                        138.749974,                        -34.99992,                        409.051
                        138.74974,                        -34.999746,                        410.331
                        138.74974,                        -34.999746,                        410.331
                        138.749259,                        -34.999452,                        413.371
                        138.749019,                        -34.999312,                        414.6
                        138.749019,                        -34.999312,                        414.6
                        138.748494,                        -34.999064,                        417.395
                        138.748224,                        -34.998954,                        419.038
                        138.748224,                        -34.998954,                        419.038
                        138.74767,                        -34.998751,                        421.666
                        138.747393,                        -34.99866,                        423.84
                        138.747393,                        -34.99866,                        423.84
                        138.74681,                        -34.998501,                        426.299
                        138.746525,                        -34.998422,                        428.432
                        138.746525,                        -34.998422,                        428.432
                        138.745951,                        -34.998274,                        430.925
                        138.745659,                        -34.998199,                        432.442
                        138.745659,                        -34.998199,                        432.442
                        138.745083,                        -34.998036,                        435.519
                        138.744799,                        -34.997949,                        437.078
                        138.744799,                        -34.997949,                        437.078
                        138.74423,                        -34.997768,                        439.624
                        138.743953,                        -34.99767,                        441.227
                        138.743953,                        -34.99767,                        441.227
                        138.743391,                        -34.997456,                        443.825
